ISO3_code,Location,Age,person_id
ITA,Italy,0,521911082
ITA,Italy,0,328973274
ITA,Italy,0,381346054
ITA,Italy,0,284592028
ITA,Italy,1,691722165
ITA,Italy,1,250759214
ITA,Italy,1,431637303
ITA,Italy,1,704261128
ITA,Italy,2,193692980
ITA,Italy,2,564825819
ITA,Italy,2,240632345
ITA,Italy,2,496568141
ITA,Italy,3,177270369
ITA,Italy,3,459829204
ITA,Italy,3,706928777
ITA,Italy,3,892855257
ITA,Italy,4,375137853
ITA,Italy,4,662539038
ITA,Italy,4,360393376
ITA,Italy,4,180916495
ITA,Italy,5,384297799
ITA,Italy,5,796746883
ITA,Italy,5,534777326
ITA,Italy,5,946354491
ITA,Italy,6,445985570
ITA,Italy,6,449454406
ITA,Italy,6,690765860
ITA,Italy,6,612460539
ITA,Italy,6,520001486
ITA,Italy,7,952081224
ITA,Italy,7,502944548
ITA,Italy,7,367159295
ITA,Italy,7,148158366
ITA,Italy,7,975879664
ITA,Italy,8,346764551
ITA,Italy,8,630356519
ITA,Italy,8,136174233
ITA,Italy,8,998729914
ITA,Italy,8,995293212
ITA,Italy,9,430101110
ITA,Italy,9,476943430
ITA,Italy,9,292701126
ITA,Italy,9,664268154
ITA,Italy,9,732303018
ITA,Italy,10,798587718
ITA,Italy,10,445937375
ITA,Italy,10,805104700
ITA,Italy,10,492158461
ITA,Italy,10,178468280
ITA,Italy,11,903848409
ITA,Italy,11,279752249
ITA,Italy,11,313192348
ITA,Italy,11,659941054
ITA,Italy,11,143769105
ITA,Italy,12,978589063
ITA,Italy,12,198977159
ITA,Italy,12,755985266
ITA,Italy,12,812107380
ITA,Italy,12,896137218
ITA,Italy,13,627307608
ITA,Italy,13,917694382
ITA,Italy,13,379154727
ITA,Italy,13,382546940
ITA,Italy,13,461831840
ITA,Italy,14,804963327
ITA,Italy,14,588398688
ITA,Italy,14,981609792
ITA,Italy,14,494125032
ITA,Italy,14,809061236
ITA,Italy,15,137549357
ITA,Italy,15,500395859
ITA,Italy,15,579211028
ITA,Italy,15,442164300
ITA,Italy,15,606464550
ITA,Italy,16,206157188
ITA,Italy,16,711228544
ITA,Italy,16,836600333
ITA,Italy,16,916408395
ITA,Italy,16,718043792
ITA,Italy,17,871283704
ITA,Italy,17,389632475
ITA,Italy,17,361886284
ITA,Italy,17,832846427
ITA,Italy,17,998200935
ITA,Italy,18,722324646
ITA,Italy,18,491230853
ITA,Italy,18,286218063
ITA,Italy,18,210114874
ITA,Italy,18,181155874
ITA,Italy,19,243838726
ITA,Italy,19,449373389
ITA,Italy,19,354726583
ITA,Italy,19,604354872
ITA,Italy,19,539262509
ITA,Italy,20,172639604
ITA,Italy,20,767008323
ITA,Italy,20,198488821
ITA,Italy,20,383908497
ITA,Italy,20,520071259
ITA,Italy,21,676881915
ITA,Italy,21,331446741
ITA,Italy,21,288533645
ITA,Italy,21,441886542
ITA,Italy,21,724315520
ITA,Italy,22,657601090
ITA,Italy,22,190011019
ITA,Italy,22,975904735
ITA,Italy,22,845767921
ITA,Italy,22,347273019
ITA,Italy,23,234065281
ITA,Italy,23,337340068
ITA,Italy,23,122769093
ITA,Italy,23,679406659
ITA,Italy,23,542078416
ITA,Italy,24,611661929
ITA,Italy,24,977706821
ITA,Italy,24,445362969
ITA,Italy,24,306386785
ITA,Italy,24,963761663
ITA,Italy,25,479652101
ITA,Italy,25,534931565
ITA,Italy,25,115771610
ITA,Italy,25,909481598
ITA,Italy,25,963687916
ITA,Italy,26,568083803
ITA,Italy,26,263153477
ITA,Italy,26,264150494
ITA,Italy,26,149079867
ITA,Italy,26,894655264
ITA,Italy,26,845699950
ITA,Italy,27,470360679
ITA,Italy,27,874864233
ITA,Italy,27,551027409
ITA,Italy,27,207694842
ITA,Italy,27,432461736
ITA,Italy,27,394782326
ITA,Italy,28,178737468
ITA,Italy,28,972724780
ITA,Italy,28,801023746
ITA,Italy,28,686274380
ITA,Italy,28,954466911
ITA,Italy,28,884477782
ITA,Italy,29,943244000
ITA,Italy,29,855651370
ITA,Italy,29,314733382
ITA,Italy,29,566860713
ITA,Italy,29,858576604
ITA,Italy,29,442485440
ITA,Italy,30,348439596
ITA,Italy,30,198761688
ITA,Italy,30,502196663
ITA,Italy,30,636746629
ITA,Italy,30,747426313
ITA,Italy,30,269595746
ITA,Italy,31,845467722
ITA,Italy,31,783116774
ITA,Italy,31,345145396
ITA,Italy,31,553878752
ITA,Italy,31,682483305
ITA,Italy,31,439150540
ITA,Italy,32,745799904
ITA,Italy,32,367362331
ITA,Italy,32,251571670
ITA,Italy,32,594362952
ITA,Italy,32,885767400
ITA,Italy,32,902117148
ITA,Italy,33,265408814
ITA,Italy,33,345333932
ITA,Italy,33,870660807
ITA,Italy,33,781523378
ITA,Italy,33,342897266
ITA,Italy,33,577023218
ITA,Italy,34,289611447
ITA,Italy,34,266937102
ITA,Italy,34,435817224
ITA,Italy,34,428597314
ITA,Italy,34,245114919
ITA,Italy,34,906410537
ITA,Italy,35,596674301
ITA,Italy,35,697889306
ITA,Italy,35,728055764
ITA,Italy,35,916667262
ITA,Italy,35,248771986
ITA,Italy,35,731223876
ITA,Italy,36,847820254
ITA,Italy,36,389454499
ITA,Italy,36,555437905
ITA,Italy,36,837966878
ITA,Italy,36,998687498
ITA,Italy,36,119504022
ITA,Italy,37,757811488
ITA,Italy,37,281439156
ITA,Italy,37,768458156
ITA,Italy,37,640502316
ITA,Italy,37,422930448
ITA,Italy,37,986176693
ITA,Italy,37,770991245
ITA,Italy,38,346520683
ITA,Italy,38,865464231
ITA,Italy,38,186271151
ITA,Italy,38,574393896
ITA,Italy,38,894274507
ITA,Italy,38,310669549
ITA,Italy,38,610786505
ITA,Italy,39,159942449
ITA,Italy,39,755571168
ITA,Italy,39,128114928
ITA,Italy,39,892604962
ITA,Italy,39,895291064
ITA,Italy,39,901787984
ITA,Italy,39,208756182
ITA,Italy,40,652805940
ITA,Italy,40,697196820
ITA,Italy,40,305131169
ITA,Italy,40,213179615
ITA,Italy,40,334567640
ITA,Italy,40,720028149
ITA,Italy,40,882317280
ITA,Italy,41,215287859
ITA,Italy,41,600663236
ITA,Italy,41,808342807
ITA,Italy,41,772587493
ITA,Italy,41,915162122
ITA,Italy,41,489323240
ITA,Italy,41,554709518
ITA,Italy,41,790272064
ITA,Italy,42,305589484
ITA,Italy,42,803271638
