ISO3_code,Location,Age,person_id
GBR,United Kingdom,0,234436378
GBR,United Kingdom,0,197820825
GBR,United Kingdom,0,522966066
GBR,United Kingdom,0,568972919
GBR,United Kingdom,0,778191501
GBR,United Kingdom,0,582294237
GBR,United Kingdom,0,416418532
GBR,United Kingdom,1,188344074
GBR,United Kingdom,1,145275900
GBR,United Kingdom,1,142731528
GBR,United Kingdom,1,530534033
GBR,United Kingdom,1,358137984
GBR,United Kingdom,1,129136262
GBR,United Kingdom,1,571395436
GBR,United Kingdom,2,254839345
GBR,United Kingdom,2,677596983
GBR,United Kingdom,2,135252956
GBR,United Kingdom,2,344027133
GBR,United Kingdom,2,957876090
GBR,United Kingdom,2,864554236
GBR,United Kingdom,2,288649461
GBR,United Kingdom,3,150411784
GBR,United Kingdom,3,838033482
GBR,United Kingdom,3,889322086
GBR,United Kingdom,3,770339899
GBR,United Kingdom,3,295788047
GBR,United Kingdom,3,554396817
GBR,United Kingdom,3,864411278
GBR,United Kingdom,4,566827716
GBR,United Kingdom,4,921309268
GBR,United Kingdom,4,785049921
GBR,United Kingdom,4,217251686
GBR,United Kingdom,4,863230254
GBR,United Kingdom,4,655913272
GBR,United Kingdom,4,579093716
GBR,United Kingdom,4,472763080
GBR,United Kingdom,5,517071698
GBR,United Kingdom,5,858711828
GBR,United Kingdom,5,298049463
GBR,United Kingdom,5,381635135
GBR,United Kingdom,5,722278655
GBR,United Kingdom,5,953615879
GBR,United Kingdom,5,215660684
GBR,United Kingdom,5,117189678
GBR,United Kingdom,6,783353170
GBR,United Kingdom,6,888447332
GBR,United Kingdom,6,555983876
GBR,United Kingdom,6,747572620
GBR,United Kingdom,6,559176729
GBR,United Kingdom,6,893679494
GBR,United Kingdom,6,799935390
GBR,United Kingdom,6,891781939
GBR,United Kingdom,7,837766867
GBR,United Kingdom,7,595482044
GBR,United Kingdom,7,254975485
GBR,United Kingdom,7,263576395
GBR,United Kingdom,7,603086441
GBR,United Kingdom,7,820981870
GBR,United Kingdom,7,847628523
GBR,United Kingdom,7,212067986
GBR,United Kingdom,8,614097378
GBR,United Kingdom,8,892859467
GBR,United Kingdom,8,821105293
GBR,United Kingdom,8,444989018
GBR,United Kingdom,8,917436475
GBR,United Kingdom,8,876525178
GBR,United Kingdom,8,613228136
GBR,United Kingdom,8,174305248
GBR,United Kingdom,9,294560625
GBR,United Kingdom,9,595975041
GBR,United Kingdom,9,896952513
GBR,United Kingdom,9,929952057
GBR,United Kingdom,9,277238469
GBR,United Kingdom,9,658178454
GBR,United Kingdom,9,592658232
GBR,United Kingdom,9,660714810
GBR,United Kingdom,10,583153002
GBR,United Kingdom,10,547689615
GBR,United Kingdom,10,245410971
GBR,United Kingdom,10,995989260
GBR,United Kingdom,10,139467963
GBR,United Kingdom,10,287595814
GBR,United Kingdom,10,311796922
GBR,United Kingdom,10,417261692
GBR,United Kingdom,11,728880451
GBR,United Kingdom,11,178373643
GBR,United Kingdom,11,507452122
GBR,United Kingdom,11,455212022
GBR,United Kingdom,11,496748793
GBR,United Kingdom,11,508442683
GBR,United Kingdom,11,436441009
GBR,United Kingdom,11,256930540
GBR,United Kingdom,12,630351134
GBR,United Kingdom,12,581004536
GBR,United Kingdom,12,608072536
GBR,United Kingdom,12,177811701
GBR,United Kingdom,12,710386026
GBR,United Kingdom,12,198939613
GBR,United Kingdom,12,767627115
GBR,United Kingdom,12,321137701
GBR,United Kingdom,13,916252622
GBR,United Kingdom,13,419691282
GBR,United Kingdom,13,252363161
GBR,United Kingdom,13,787927685
GBR,United Kingdom,13,889549304
GBR,United Kingdom,13,608989636
GBR,United Kingdom,13,704136584
GBR,United Kingdom,14,470275362
GBR,United Kingdom,14,539807535
GBR,United Kingdom,14,968389028
GBR,United Kingdom,14,492917545
GBR,United Kingdom,14,659096948
GBR,United Kingdom,14,472842370
GBR,United Kingdom,14,575039097
GBR,United Kingdom,15,889442536
GBR,United Kingdom,15,508050893
GBR,United Kingdom,15,740842105
GBR,United Kingdom,15,932347568
GBR,United Kingdom,15,939132772
GBR,United Kingdom,15,616263376
GBR,United Kingdom,15,539197044
GBR,United Kingdom,16,593405058
GBR,United Kingdom,16,439601335
GBR,United Kingdom,16,357047314
GBR,United Kingdom,16,876407580
GBR,United Kingdom,16,340148196
GBR,United Kingdom,16,123511449
GBR,United Kingdom,16,951416467
GBR,United Kingdom,17,587138427
GBR,United Kingdom,17,220893154
GBR,United Kingdom,17,983412046
GBR,United Kingdom,17,631357486
GBR,United Kingdom,17,949334083
GBR,United Kingdom,17,949634006
GBR,United Kingdom,17,192268074
GBR,United Kingdom,18,735460717
GBR,United Kingdom,18,134784387
GBR,United Kingdom,18,348121644
GBR,United Kingdom,18,557517972
GBR,United Kingdom,18,715394793
GBR,United Kingdom,18,305790779
GBR,United Kingdom,18,726686700
GBR,United Kingdom,19,215322011
GBR,United Kingdom,19,677105351
GBR,United Kingdom,19,441951277
GBR,United Kingdom,19,339364289
GBR,United Kingdom,19,975031086
GBR,United Kingdom,19,912504884
GBR,United Kingdom,19,191195363
GBR,United Kingdom,20,123561290
GBR,United Kingdom,20,522123651
GBR,United Kingdom,20,611393410
GBR,United Kingdom,20,862883424
GBR,United Kingdom,20,974797642
GBR,United Kingdom,20,938980529
GBR,United Kingdom,20,916705074
GBR,United Kingdom,21,903498597
GBR,United Kingdom,21,180308266
GBR,United Kingdom,21,799367742
GBR,United Kingdom,21,359316241
GBR,United Kingdom,21,354810012
GBR,United Kingdom,21,243650580
GBR,United Kingdom,21,874087167
GBR,United Kingdom,21,352388689
GBR,United Kingdom,22,221112042
GBR,United Kingdom,22,362342955
GBR,United Kingdom,22,199300001
GBR,United Kingdom,22,927431336
GBR,United Kingdom,22,358810350
GBR,United Kingdom,22,751568190
GBR,United Kingdom,22,135514563
GBR,United Kingdom,22,301212847
GBR,United Kingdom,23,369483557
GBR,United Kingdom,23,848852618
GBR,United Kingdom,23,967177404
GBR,United Kingdom,23,523030229
GBR,United Kingdom,23,880813307
GBR,United Kingdom,23,820091207
GBR,United Kingdom,23,351548613
GBR,United Kingdom,23,799537030
GBR,United Kingdom,24,235129175
GBR,United Kingdom,24,895497533
GBR,United Kingdom,24,119597510
GBR,United Kingdom,24,161236742
GBR,United Kingdom,24,148131062
GBR,United Kingdom,24,677996535
GBR,United Kingdom,24,996724998
GBR,United Kingdom,24,197749448
GBR,United Kingdom,25,208251277
GBR,United Kingdom,25,673090119
GBR,United Kingdom,25,801071139
GBR,United Kingdom,25,448229864
GBR,United Kingdom,25,679632582
GBR,United Kingdom,25,858345091
GBR,United Kingdom,25,851628532
GBR,United Kingdom,25,203749510
GBR,United Kingdom,26,785646546
GBR,United Kingdom,26,316047328
GBR,United Kingdom,26,869569348
GBR,United Kingdom,26,801039636
GBR,United Kingdom,26,656722229
GBR,United Kingdom,26,461616944
GBR,United Kingdom,26,189385275
GBR,United Kingdom,26,978972641
GBR,United Kingdom,27,823762924
GBR,United Kingdom,27,786532258
GBR,United Kingdom,27,484037757
GBR,United Kingdom,27,529432994
GBR,United Kingdom,27,625388905
GBR,United Kingdom,27,718747479
GBR,United Kingdom,27,534046612
GBR,United Kingdom,27,452205981
GBR,United Kingdom,27,489372057
GBR,United Kingdom,28,781256849
GBR,United Kingdom,28,423194753
GBR,United Kingdom,28,550447541
GBR,United Kingdom,28,669802097
GBR,United Kingdom,28,397531229
GBR,United Kingdom,28,125932877
GBR,United Kingdom,28,558362199
GBR,United Kingdom,28,206632674
GBR,United Kingdom,28,302132240
GBR,United Kingdom,29,621403606
GBR,United Kingdom,29,686037568
GBR,United Kingdom,29,253975598
GBR,United Kingdom,29,620023520
GBR,United Kingdom,29,796433568
GBR,United Kingdom,29,212693484
GBR,United Kingdom,29,122873449
GBR,United Kingdom,29,277937593
GBR,United Kingdom,29,872713662
GBR,United Kingdom,30,953280098
GBR,United Kingdom,30,929197207
GBR,United Kingdom,30,348510222
GBR,United Kingdom,30,941583433
GBR,United Kingdom,30,732123457
GBR,United Kingdom,30,634280638
GBR,United Kingdom,30,135146164
GBR,United Kingdom,30,539640113
GBR,United Kingdom,30,224086440
GBR,United Kingdom,31,225617964
GBR,United Kingdom,31,134002903
GBR,United Kingdom,31,551382503
GBR,United Kingdom,31,909776582
GBR,United Kingdom,31,488410575
GBR,United Kingdom,31,506913182
GBR,United Kingdom,31,767233450
GBR,United Kingdom,31,571813553
GBR,United Kingdom,31,609790897
GBR,United Kingdom,32,369604474
GBR,United Kingdom,32,657426925
GBR,United Kingdom,32,933105435
GBR,United Kingdom,32,960850750
GBR,United Kingdom,32,282033797
GBR,United Kingdom,32,127375019
GBR,United Kingdom,32,400247115
GBR,United Kingdom,32,371982169
GBR,United Kingdom,32,958636624
GBR,United Kingdom,33,646845400
GBR,United Kingdom,33,999546640
GBR,United Kingdom,33,502669216
GBR,United Kingdom,33,113531450
GBR,United Kingdom,33,699513739
GBR,United Kingdom,33,400712632
GBR,United Kingdom,33,944483063
GBR,United Kingdom,33,836446584
GBR,United Kingdom,34,617329994
GBR,United Kingdom,34,796680922
GBR,United Kingdom,34,603570628
GBR,United Kingdom,34,682881989
GBR,United Kingdom,34,453088277
GBR,United Kingdom,34,391933629
GBR,United Kingdom,34,403297560
GBR,United Kingdom,34,648865169
GBR,United Kingdom,35,389709046
GBR,United Kingdom,35,971274102
GBR,United Kingdom,35,493608242
GBR,United Kingdom,35,348946607
GBR,United Kingdom,35,431737069
GBR,United Kingdom,35,501433529
GBR,United Kingdom,35,807997166
GBR,United Kingdom,35,335885955
GBR,United Kingdom,36,500528391
GBR,United Kingdom,36,316261468
GBR,United Kingdom,36,305258155
GBR,United Kingdom,36,274237134
GBR,United Kingdom,36,407844317
GBR,United Kingdom,36,576902985
GBR,United Kingdom,36,937162137
GBR,United Kingdom,36,926182703
GBR,United Kingdom,37,985200784
GBR,United Kingdom,37,611372351
GBR,United Kingdom,37,282940012
GBR,United Kingdom,37,487994566
GBR,United Kingdom,37,969573109
GBR,United Kingdom,37,299982115
GBR,United Kingdom,37,724780669
GBR,United Kingdom,37,869195827
GBR,United Kingdom,38,569957052
GBR,United Kingdom,38,339238739
GBR,United Kingdom,38,212513201
GBR,United Kingdom,38,383582586
GBR,United Kingdom,38,327019724
GBR,United Kingdom,38,224451835
GBR,United Kingdom,38,451704364
GBR,United Kingdom,38,364529519
GBR,United Kingdom,39,114602430
GBR,United Kingdom,39,438191242
GBR,United Kingdom,39,718535308
GBR,United Kingdom,39,306280667
GBR,United Kingdom,39,353183579
GBR,United Kingdom,39,360305606
GBR,United Kingdom,39,734888808
GBR,United Kingdom,39,592008618
GBR,United Kingdom,40,855643775
GBR,United Kingdom,40,307253924
GBR,United Kingdom,40,176916321
GBR,United Kingdom,40,517041652
GBR,United Kingdom,40,531384713
GBR,United Kingdom,40,150127760
GBR,United Kingdom,40,778388514
GBR,United Kingdom,40,885046149
GBR,United Kingdom,41,734135277
GBR,United Kingdom,41,934262541
GBR,United Kingdom,41,608879205
GBR,United Kingdom,41,334511080
GBR,United Kingdom,41,315317462
GBR,United Kingdom,41,926341980
GBR,United Kingdom,41,873234771
GBR,United Kingdom,41,455894240
GBR,United Kingdom,42,217787434
GBR,United Kingdom,42,901034394
GBR,United Kingdom,42,340782754
GBR,United Kingdom,42,656233770
GBR,United Kingdom,42,751275382
GBR,United Kingdom,42,878362483
GBR,United Kingdom,42,404718263
GBR,United Kingdom,43,539654721
GBR,United Kingdom,43,704305769
GBR,United Kingdom,43,996318669
GBR,United Kingdom,43,272355380
GBR,United Kingdom,43,677110325
GBR,United Kingdom,43,919159284
GBR,United Kingdom,43,130442504
GBR,United Kingdom,44,470569370
GBR,United Kingdom,44,581609985
GBR,United Kingdom,44,528142928
GBR,United Kingdom,44,640413713
GBR,United Kingdom,44,154721649
GBR,United Kingdom,44,471611721
GBR,United Kingdom,44,699765511
GBR,United Kingdom,45,554519210
GBR,United Kingdom,45,660886442
GBR,United Kingdom,45,245877606
GBR,United Kingdom,45,750215442
GBR,United Kingdom,45,759104175
GBR,United Kingdom,45,676484986
GBR,United Kingdom,45,703719914
GBR,United Kingdom,45,133130914
GBR,United Kingdom,46,412082789
GBR,United Kingdom,46,956288172
GBR,United Kingdom,46,968926204
GBR,United Kingdom,46,159565496
GBR,United Kingdom,46,360089550
GBR,United Kingdom,46,228225758
GBR,United Kingdom,46,412404794
GBR,United Kingdom,46,603650216
GBR,United Kingdom,47,369073994
GBR,United Kingdom,47,805536804
GBR,United Kingdom,47,390166284
GBR,United Kingdom,47,448230310
GBR,United Kingdom,47,716414662
GBR,United Kingdom,47,379441185
GBR,United Kingdom,47,129428836
GBR,United Kingdom,47,539478011
GBR,United Kingdom,48,824515479
GBR,United Kingdom,48,372787679
GBR,United Kingdom,48,617071272
GBR,United Kingdom,48,439479423
GBR,United Kingdom,48,490933664
GBR,United Kingdom,48,334888710
GBR,United Kingdom,48,665186825
GBR,United Kingdom,48,816166959
GBR,United Kingdom,48,960151350
GBR,United Kingdom,49,944608608
GBR,United Kingdom,49,681756452
GBR,United Kingdom,49,790210060
GBR,United Kingdom,49,924308229
GBR,United Kingdom,49,906675054
GBR,United Kingdom,49,881185898
GBR,United Kingdom,49,590220491
GBR,United Kingdom,49,142043909
GBR,United Kingdom,49,931133910
GBR,United Kingdom,50,286229539
GBR,United Kingdom,50,396069138
GBR,United Kingdom,50,124317088
GBR,United Kingdom,50,265621342
GBR,United Kingdom,50,468091827
GBR,United Kingdom,50,855212003
GBR,United Kingdom,50,260188342
GBR,United Kingdom,50,798363428
GBR,United Kingdom,50,475163700
GBR,United Kingdom,51,831133096
GBR,United Kingdom,51,312795158
GBR,United Kingdom,51,460969417
GBR,United Kingdom,51,761141689
GBR,United Kingdom,51,386680280
GBR,United Kingdom,51,896000513
GBR,United Kingdom,51,387157669
GBR,United Kingdom,51,179666789
GBR,United Kingdom,51,856163004
GBR,United Kingdom,52,325067655
GBR,United Kingdom,52,231713444
GBR,United Kingdom,52,528917616
GBR,United Kingdom,52,800205061
GBR,United Kingdom,52,705285761
GBR,United Kingdom,52,212649672
GBR,United Kingdom,52,226258796
GBR,United Kingdom,52,412519041
GBR,United Kingdom,52,812287890
GBR,United Kingdom,53,734285565
GBR,United Kingdom,53,234770167
GBR,United Kingdom,53,142787763
GBR,United Kingdom,53,407720018
GBR,United Kingdom,53,959345117
GBR,United Kingdom,53,289234400
GBR,United Kingdom,53,591626597
GBR,United Kingdom,53,211330095
GBR,United Kingdom,53,772034669
GBR,United Kingdom,54,810140440
GBR,United Kingdom,54,238235459
GBR,United Kingdom,54,453783288
GBR,United Kingdom,54,414285387
GBR,United Kingdom,54,495521181
GBR,United Kingdom,54,512433872
GBR,United Kingdom,54,591254859
GBR,United Kingdom,54,321776391
GBR,United Kingdom,54,257336597
GBR,United Kingdom,55,360658046
GBR,United Kingdom,55,715883249
GBR,United Kingdom,55,701957692
GBR,United Kingdom,55,308815503
GBR,United Kingdom,55,706071668
GBR,United Kingdom,55,771742501
GBR,United Kingdom,55,930529776
GBR,United Kingdom,55,345429933
GBR,United Kingdom,55,942865964
GBR,United Kingdom,56,381599524
GBR,United Kingdom,56,970952758
GBR,United Kingdom,56,303957948
GBR,United Kingdom,56,215890478
GBR,United Kingdom,56,267598825
GBR,United Kingdom,56,265862433
GBR,United Kingdom,56,545277315
GBR,United Kingdom,56,756993323
GBR,United Kingdom,56,545028680
GBR,United Kingdom,57,339476165
GBR,United Kingdom,57,487137374
GBR,United Kingdom,57,587023884
GBR,United Kingdom,57,966031905
GBR,United Kingdom,57,863665147
GBR,United Kingdom,57,886264543
GBR,United Kingdom,57,647128127
GBR,United Kingdom,57,275226293
GBR,United Kingdom,58,888023172
GBR,United Kingdom,58,431259709
GBR,United Kingdom,58,438438794
GBR,United Kingdom,58,879057115
GBR,United Kingdom,58,308481106
GBR,United Kingdom,58,443047053
GBR,United Kingdom,58,470044888
GBR,United Kingdom,58,985051028
GBR,United Kingdom,59,633689942
GBR,United Kingdom,59,824438223
GBR,United Kingdom,59,750445208
GBR,United Kingdom,59,562720952
GBR,United Kingdom,59,452193355
GBR,United Kingdom,59,157090652
GBR,United Kingdom,59,537587047
GBR,United Kingdom,59,113167245
GBR,United Kingdom,60,686797004
GBR,United Kingdom,60,384448978
GBR,United Kingdom,60,544828036
GBR,United Kingdom,60,839172890
GBR,United Kingdom,60,878625782
GBR,United Kingdom,60,804597739
GBR,United Kingdom,60,267359912
GBR,United Kingdom,60,904794997
GBR,United Kingdom,61,619037422
GBR,United Kingdom,61,648389657
GBR,United Kingdom,61,220639896
GBR,United Kingdom,61,213320852
GBR,United Kingdom,61,910256509
GBR,United Kingdom,61,738245051
GBR,United Kingdom,61,615995383
GBR,United Kingdom,62,133627384
GBR,United Kingdom,62,886034878
GBR,United Kingdom,62,877368727
GBR,United Kingdom,62,785348627
GBR,United Kingdom,62,488671357
GBR,United Kingdom,62,277498947
GBR,United Kingdom,62,808809603
GBR,United Kingdom,63,887119661
GBR,United Kingdom,63,342136649
GBR,United Kingdom,63,754848705
GBR,United Kingdom,63,434641853
GBR,United Kingdom,63,871781466
GBR,United Kingdom,63,517356529
GBR,United Kingdom,63,744903252
GBR,United Kingdom,64,535322364
GBR,United Kingdom,64,383331681
GBR,United Kingdom,64,521621925
GBR,United Kingdom,64,319735390
GBR,United Kingdom,64,428176565
GBR,United Kingdom,64,248106647
GBR,United Kingdom,64,485277985
GBR,United Kingdom,65,767217587
GBR,United Kingdom,65,566752186
GBR,United Kingdom,65,379130224
GBR,United Kingdom,65,884484086
GBR,United Kingdom,65,557209259
GBR,United Kingdom,65,397515554
GBR,United Kingdom,66,354126666
GBR,United Kingdom,66,280715105
GBR,United Kingdom,66,178593279
GBR,United Kingdom,66,470920435
GBR,United Kingdom,66,668736681
GBR,United Kingdom,66,402351317
GBR,United Kingdom,67,926475035
GBR,United Kingdom,67,285486984
GBR,United Kingdom,67,740319196
GBR,United Kingdom,67,807125589
GBR,United Kingdom,67,601672019
GBR,United Kingdom,67,921945736
GBR,United Kingdom,68,506953214
GBR,United Kingdom,68,201927801
GBR,United Kingdom,68,804447816
GBR,United Kingdom,68,746852010
GBR,United Kingdom,68,362071073
GBR,United Kingdom,68,198736914
GBR,United Kingdom,69,168562858
GBR,United Kingdom,69,374415614
GBR,United Kingdom,69,608137184
GBR,United Kingdom,69,698392223
GBR,United Kingdom,69,734441247
GBR,United Kingdom,69,810549999
GBR,United Kingdom,70,585632673
GBR,United Kingdom,70,896388576
GBR,United Kingdom,70,889845431
GBR,United Kingdom,70,728529056
GBR,United Kingdom,70,908940579
GBR,United Kingdom,70,675093790
GBR,United Kingdom,71,158301046
GBR,United Kingdom,71,954355692
GBR,United Kingdom,71,555182835
GBR,United Kingdom,71,307856153
GBR,United Kingdom,71,861190688
GBR,United Kingdom,71,975429207
GBR,United Kingdom,72,946582274
GBR,United Kingdom,72,538870585
GBR,United Kingdom,72,245716116
GBR,United Kingdom,72,513356315
GBR,United Kingdom,72,169767860
GBR,United Kingdom,72,151382185
GBR,United Kingdom,72,410274476
GBR,United Kingdom,73,605602228
GBR,United Kingdom,73,336719835
GBR,United Kingdom,73,743296448
GBR,United Kingdom,73,664234177
GBR,United Kingdom,73,735001540
GBR,United Kingdom,73,663744868
GBR,United Kingdom,74,139596616
GBR,United Kingdom,74,169924800
GBR,United Kingdom,74,185153943
GBR,United Kingdom,74,630440316
GBR,United Kingdom,74,453705607
GBR,United Kingdom,75,303931324
GBR,United Kingdom,75,533347568
GBR,United Kingdom,75,725019278
GBR,United Kingdom,75,908091532
GBR,United Kingdom,75,763931133
GBR,United Kingdom,76,512490707
GBR,United Kingdom,76,761742324
GBR,United Kingdom,76,363404051
GBR,United Kingdom,76,309434330
GBR,United Kingdom,76,936762055
GBR,United Kingdom,77,555768274
GBR,United Kingdom,77,784737467
GBR,United Kingdom,77,407134957
GBR,United Kingdom,77,591242818
GBR,United Kingdom,78,180233484
GBR,United Kingdom,78,289933116
GBR,United Kingdom,78,154274475
GBR,United Kingdom,78,680257531
GBR,United Kingdom,79,669776519
GBR,United Kingdom,79,993044683
GBR,United Kingdom,79,319144393
GBR,United Kingdom,80,441338915
GBR,United Kingdom,80,279881890
GBR,United Kingdom,80,569927532
GBR,United Kingdom,81,971205813
GBR,United Kingdom,81,963694901
GBR,United Kingdom,81,445338291
GBR,United Kingdom,82,170559812
GBR,United Kingdom,82,713201341
GBR,United Kingdom,82,779665018
GBR,United Kingdom,83,301546941
GBR,United Kingdom,83,159913279
GBR,United Kingdom,83,933669327
GBR,United Kingdom,84,830866799
GBR,United Kingdom,84,649999428
GBR,United Kingdom,85,303494506
GBR,United Kingdom,85,693841967
GBR,United Kingdom,86,299566914
GBR,United Kingdom,86,801451905
GBR,United Kingdom,87,840800548
GBR,United Kingdom,87,946765948
GBR,United Kingdom,88,590098387
GBR,United Kingdom,89,894215589
GBR,United Kingdom,90,957845624
GBR,United Kingdom,91,182454261
