ISO3_code,Location,Age,person_id
USA,United States of America,0,619682630
USA,United States of America,0,392979625
USA,United States of America,0,409446817
USA,United States of America,0,720072079
USA,United States of America,0,605973967
USA,United States of America,0,503090531
USA,United States of America,0,815094686
USA,United States of America,0,466038345
USA,United States of America,0,259453467
USA,United States of America,0,545437062
USA,United States of America,0,413484353
USA,United States of America,0,671444653
USA,United States of America,0,241739189
USA,United States of America,0,168905495
USA,United States of America,0,893138238
USA,United States of America,0,925929471
USA,United States of America,0,605512832
USA,United States of America,0,882212763
USA,United States of America,0,567093644
USA,United States of America,0,532081842
USA,United States of America,0,881682934
USA,United States of America,0,725721202
USA,United States of America,0,757390376
USA,United States of America,0,867162270
USA,United States of America,0,177508862
USA,United States of America,0,430247427
USA,United States of America,0,639994234
USA,United States of America,0,552841692
USA,United States of America,0,447853527
USA,United States of America,0,334117372
USA,United States of America,0,554020893
USA,United States of America,0,357647564
USA,United States of America,0,638215066
USA,United States of America,0,576507709
USA,United States of America,0,796544282
USA,United States of America,0,450037092
USA,United States of America,0,792520075
USA,United States of America,1,633932873
USA,United States of America,1,504762308
USA,United States of America,1,560508973
USA,United States of America,1,475768861
USA,United States of America,1,565271183
USA,United States of America,1,426481377
USA,United States of America,1,490347366
USA,United States of America,1,166932852
USA,United States of America,1,172081904
USA,United States of America,1,868936718
USA,United States of America,1,624733175
USA,United States of America,1,971424624
USA,United States of America,1,854959935
USA,United States of America,1,664396084
USA,United States of America,1,836410982
USA,United States of America,1,283891941
USA,United States of America,1,512511016
USA,United States of America,1,994876041
USA,United States of America,1,771394235
USA,United States of America,1,853617116
USA,United States of America,1,728087586
USA,United States of America,1,896633010
USA,United States of America,1,650991622
USA,United States of America,1,349722142
USA,United States of America,1,597542618
USA,United States of America,1,434696296
USA,United States of America,1,874727074
USA,United States of America,1,256036208
USA,United States of America,1,822198208
USA,United States of America,1,584878813
USA,United States of America,1,168528600
USA,United States of America,1,236662688
USA,United States of America,1,155923997
USA,United States of America,1,589543337
USA,United States of America,1,954102445
USA,United States of America,1,947419619
USA,United States of America,1,191032917
USA,United States of America,1,485899525
USA,United States of America,2,836335067
USA,United States of America,2,274013630
USA,United States of America,2,394344838
USA,United States of America,2,400263309
USA,United States of America,2,929074255
USA,United States of America,2,874480784
USA,United States of America,2,206352715
USA,United States of America,2,332422273
USA,United States of America,2,604364850
USA,United States of America,2,486840798
USA,United States of America,2,407195979
USA,United States of America,2,630469187
USA,United States of America,2,389549733
USA,United States of America,2,637799231
USA,United States of America,2,719186443
USA,United States of America,2,563791035
USA,United States of America,2,801635645
USA,United States of America,2,788562813
USA,United States of America,2,996298773
USA,United States of America,2,496498379
USA,United States of America,2,575338753
USA,United States of America,2,659196370
USA,United States of America,2,888227171
USA,United States of America,2,198132110
USA,United States of America,2,154891144
USA,United States of America,2,707637705
USA,United States of America,2,420308144
USA,United States of America,2,225551212
USA,United States of America,2,653484440
USA,United States of America,2,527609273
USA,United States of America,2,211254407
USA,United States of America,2,434068214
USA,United States of America,2,955706949
USA,United States of America,2,963488293
USA,United States of America,2,860554415
USA,United States of America,2,649410017
USA,United States of America,2,951799902
USA,United States of America,2,694518793
USA,United States of America,2,839133976
USA,United States of America,3,726609040
USA,United States of America,3,173967004
USA,United States of America,3,642853996
USA,United States of America,3,581419082
USA,United States of America,3,422606847
USA,United States of America,3,321067896
USA,United States of America,3,261014764
USA,United States of America,3,117745566
USA,United States of America,3,854217200
USA,United States of America,3,587786357
USA,United States of America,3,155892496
USA,United States of America,3,861340968
USA,United States of America,3,119329190
USA,United States of America,3,974797343
USA,United States of America,3,149504372
USA,United States of America,3,914468103
USA,United States of America,3,336856120
USA,United States of America,3,119998619
USA,United States of America,3,326254387
USA,United States of America,3,806563699
USA,United States of America,3,996983075
USA,United States of America,3,984808373
USA,United States of America,3,158175171
USA,United States of America,3,573500982
USA,United States of America,3,592369522
USA,United States of America,3,229299600
USA,United States of America,3,590491973
USA,United States of America,3,492438149
USA,United States of America,3,892169713
USA,United States of America,3,878268738
USA,United States of America,3,420310955
USA,United States of America,3,435460079
USA,United States of America,3,240245646
USA,United States of America,3,450818213
USA,United States of America,3,561368150
USA,United States of America,3,699235090
USA,United States of America,3,935154424
USA,United States of America,3,520837687
USA,United States of America,3,127763774
USA,United States of America,3,993272544
USA,United States of America,4,719720978
USA,United States of America,4,648933200
USA,United States of America,4,749037809
USA,United States of America,4,204801529
USA,United States of America,4,255972341
USA,United States of America,4,468713654
USA,United States of America,4,608859862
USA,United States of America,4,682906844
USA,United States of America,4,510155773
USA,United States of America,4,768015900
USA,United States of America,4,990629142
USA,United States of America,4,370701962
